ano,nivel,territorio,territorio_codigo,categoria,subcategoria,classe,preco,unidade
2011,Municipio,Adrianópolis,,Mista,Não Mecanizável,,523.0,R$/ha
2012,Municipio,Adrianópolis,,Mista,Não Mecanizável,,579.0,R$/ha
2013,Municipio,Adrianópolis,,Mista,Não Mecanizável,,1570.0,R$/ha
2014,Municipio,Adrianópolis,,Mista,Não Mecanizável,,1973.0,R$/ha
2015,Municipio,Adrianópolis,,Mista,Não Mecanizável,,3091.0,R$/ha
2016,Municipio,Adrianópolis,,Mista,Não Mecanizável,,3462.0,R$/ha
2007,Municipio,Adrianópolis,,Mista,Inaproveitáveis,,58.0,R$/ha
2008,Municipio,Adrianópolis,,Mista,Inaproveitáveis,,70.0,R$/ha
2009,Municipio,Adrianópolis,,Mista,Inaproveitáveis,,97.0,R$/ha
2010,Municipio,Adrianópolis,,Mista,Inaproveitáveis,,116.0,R$/ha
2011,Municipio,Adrianópolis,,Mista,Inaproveitáveis,,111.0,R$/ha
2012,Municipio,Adrianópolis,,Mista,Inaproveitáveis,,300.0,R$/ha
2013,Municipio,Adrianópolis,,Mista,Inaproveitáveis,,909.0,R$/ha
2014,Municipio,Adrianópolis,,Mista,Inaproveitáveis,,1276.0,R$/ha
2015,Municipio,Adrianópolis,,Mista,Inaproveitáveis,,2000.0,R$/ha
2016,Municipio,Adrianópolis,,Mista,Inaproveitáveis,,2240.0,R$/ha
2007,Municipio,Agudos do Sul,,Mista,Mecanizada,,4032.0,R$/ha
2008,Municipio,Agudos do Sul,,Mista,Mecanizada,,6048.0,R$/ha
2009,Municipio,Agudos do Sul,,Mista,Mecanizada,,6653.0,R$/ha
2010,Municipio,Agudos do Sul,,Mista,Mecanizada,,8115.0,R$/ha
2011,Municipio,Agudos do Sul,,Mista,Mecanizada,,9738.0,R$/ha
2012,Municipio,Agudos do Sul,,Mista,Mecanizada,,10907.0,R$/ha
2013,Municipio,Agudos do Sul,,Mista,Mecanizada,,12543.0,R$/ha
2014,Municipio,Agudos do Sul,,Mista,Mecanizada,,16682.0,R$/ha
2015,Municipio,Agudos do Sul,,Mista,Mecanizada,,19650.0,R$/ha
2016,Municipio,Agudos do Sul,,Mista,Mecanizada,,20730.0,R$/ha
2007,Municipio,Agudos do Sul,,Mista,Mecanizável,,2606.0,R$/ha
2008,Municipio,Agudos do Sul,,Mista,Mecanizável,,3909.0,R$/ha
2009,Municipio,Agudos do Sul,,Mista,Mecanizável,,4909.0,R$/ha
2010,Municipio,Agudos do Sul,,Mista,Mecanizável,,5989.0,R$/ha
2011,Municipio,Agudos do Sul,,Mista,Mecanizável,,7187.0,R$/ha
2012,Municipio,Agudos do Sul,,Mista,Mecanizável,,8050.0,R$/ha
2013,Municipio,Agudos do Sul,,Mista,Mecanizável,,8855.0,R$/ha
2014,Municipio,Agudos do Sul,,Mista,Mecanizável,,11777.0,R$/ha
2015,Municipio,Agudos do Sul,,Mista,Mecanizável,,13670.0,R$/ha
2016,Municipio,Agudos do Sul,,Mista,Mecanizável,,14422.0,R$/ha
2007,Municipio,Agudos do Sul,,Mista,Não Mecanizável,,926.0,R$/ha
2008,Municipio,Agudos do Sul,,Mista,Não Mecanizável,,1389.0,R$/ha
2009,Municipio,Agudos do Sul,,Mista,Não Mecanizável,,1528.0,R$/ha
2010,Municipio,Agudos do Sul,,Mista,Não Mecanizável,,1864.0,R$/ha
2011,Municipio,Agudos do Sul,,Mista,Não Mecanizável,,2237.0,R$/ha
2012,Municipio,Agudos do Sul,,Mista,Não Mecanizável,,2505.0,R$/ha
2013,Municipio,Agudos do Sul,,Mista,Não Mecanizável,,2881.0,R$/ha
2014,Municipio,Agudos do Sul,,Mista,Não Mecanizável,,3832.0,R$/ha
2015,Municipio,Agudos do Sul,,Mista,Não Mecanizável,,4406.0,R$/ha
2016,Municipio,Agudos do Sul,,Mista,Não Mecanizável,,4648.0,R$/ha
2007,Municipio,Agudos do Sul,,Mista,Inaproveitáveis,,388.0,R$/ha
2008,Municipio,Agudos do Sul,,Mista,Inaproveitáveis,,582.0,R$/ha
2009,Municipio,Agudos do Sul,,Mista,Inaproveitáveis,,640.0,R$/ha
2010,Municipio,Agudos do Sul,,Mista,Inaproveitáveis,,781.0,R$/ha
2011,Municipio,Agudos do Sul,,Mista,Inaproveitáveis,,937.0,R$/ha
2012,Municipio,Agudos do Sul,,Mista,Inaproveitáveis,,1052.0,R$/ha
2013,Municipio,Agudos do Sul,,Mista,Inaproveitáveis,,1210.0,R$/ha
2014,Municipio,Agudos do Sul,,Mista,Inaproveitáveis,,1610.0,R$/ha
2015,Municipio,Agudos do Sul,,Mista,Inaproveitáveis,,1835.0,R$/ha
2016,Municipio,Agudos do Sul,,Mista,Inaproveitáveis,,1936.0,R$/ha
2007,Municipio,Agudos do Sul,,Mista,Mecanizada,,5306.0,R$/ha
2008,Municipio,Agudos do Sul,,Mista,Mecanizada,,6367.0,R$/ha
2009,Municipio,Agudos do Sul,,Mista,Mecanizada,,7640.0,R$/ha
2010,Municipio,Agudos do Sul,,Mista,Mecanizada,,8884.0,R$/ha
2011,Municipio,Agudos do Sul,,Mista,Mecanizada,,10314.0,R$/ha
2012,Municipio,Agudos do Sul,,Mista,Mecanizada,,11364.0,R$/ha
2013,Municipio,Agudos do Sul,,Mista,Mecanizada,,13223.0,R$/ha
2014,Municipio,Agudos do Sul,,Mista,Mecanizada,,15987.0,R$/ha
2015,Municipio,Agudos do Sul,,Mista,Mecanizada,,19421.0,R$/ha
2016,Municipio,Agudos do Sul,,Mista,Mecanizada,,22335.0,R$/ha
2007,Municipio,Agudos do Sul,,Mista,Mecanizável,,5306.0,R$/ha
2008,Municipio,Agudos do Sul,,Mista,Mecanizável,,5306.0,R$/ha
2009,Municipio,Agudos do Sul,,Mista,Mecanizável,,6112.0,R$/ha
2010,Municipio,Agudos do Sul,,Mista,Mecanizável,,7231.0,R$/ha
2011,Municipio,Agudos do Sul,,Mista,Mecanizável,,8252.0,R$/ha
2012,Municipio,Agudos do Sul,,Mista,Mecanizável,,9256.0,R$/ha
2013,Municipio,Agudos do Sul,,Mista,Mecanizável,,10826.0,R$/ha
2014,Municipio,Agudos do Sul,,Mista,Mecanizável,,12790.0,R$/ha
2015,Municipio,Agudos do Sul,,Mista,Mecanizável,,15537.0,R$/ha
2016,Municipio,Agudos do Sul,,Mista,Mecanizável,,17557.0,R$/ha
2007,Municipio,Agudos do Sul,,Mista,Não Mecanizável,,1983.0,R$/ha
2008,Municipio,Agudos do Sul,,Mista,Não Mecanizável,,2066.0,R$/ha
2009,Municipio,Agudos do Sul,,Mista,Não Mecanizável,,2479.0,R$/ha
2010,Municipio,Agudos do Sul,,Mista,Não Mecanizável,,2893.0,R$/ha
2011,Municipio,Agudos do Sul,,Mista,Não Mecanizável,,3223.0,R$/ha
2012,Municipio,Agudos do Sul,,Mista,Não Mecanizável,,3595.0,R$/ha
2013,Municipio,Agudos do Sul,,Mista,Não Mecanizável,,4835.0,R$/ha
2014,Municipio,Agudos do Sul,,Mista,Não Mecanizável,,5436.0,R$/ha
2015,Municipio,Agudos do Sul,,Mista,Não Mecanizável,,6603.0,R$/ha
2016,Municipio,Agudos do Sul,,Mista,Não Mecanizável,,7462.0,R$/ha
2007,Municipio,Agudos do Sul,,Mista,Inaproveitáveis,,248.0,R$/ha
2008,Municipio,Agudos do Sul,,Mista,Inaproveitáveis,,270.0,R$/ha
2009,Municipio,Agudos do Sul,,Mista,Inaproveitáveis,,382.0,R$/ha
2010,Municipio,Agudos do Sul,,Mista,Inaproveitáveis,,455.0,R$/ha
2011,Municipio,Agudos do Sul,,Mista,Inaproveitáveis,,497.0,R$/ha
2012,Municipio,Agudos do Sul,,Mista,Inaproveitáveis,,558.0,R$/ha
2013,Municipio,Agudos do Sul,,Mista,Inaproveitáveis,,2893.0,R$/ha
2014,Municipio,Agudos do Sul,,Mista,Inaproveitáveis,,3517.0,R$/ha
2015,Municipio,Agudos do Sul,,Mista,Inaproveitáveis,,4273.0,R$/ha
2016,Municipio,Agudos do Sul,,Mista,Inaproveitáveis,,4828.0,R$/ha
2007,Municipio,Agudos do Sul,,Roxa,Mecanizada,,9917.0,R$/ha
2008,Municipio,Agudos do Sul,,Roxa,Mecanizada,,11983.0,R$/ha
2009,Municipio,Agudos do Sul,,Roxa,Mecanizada,,11846.0,R$/ha
2010,Municipio,Agudos do Sul,,Roxa,Mecanizada,,11016.0,R$/ha
2011,Municipio,Agudos do Sul,,Roxa,Mecanizada,,12200.0,R$/ha
2012,Municipio,Agudos do Sul,,Roxa,Mecanizada,,22500.0,R$/ha
2013,Municipio,Agudos do Sul,,Roxa,Mecanizada,,23625.0,R$/ha
2014,Municipio,Agudos do Sul,,Roxa,Mecanizada,,24793.0,R$/ha
2015,Municipio,Agudos do Sul,,Roxa,Mecanizada,,35000.0,R$/ha
2016,Municipio,Agudos do Sul,,Roxa,Mecanizada,,35000.0,R$/ha
2007,Municipio,Agudos do Sul,,Roxa,Mecanizável,,8127.0,R$/ha
2008,Municipio,Agudos do Sul,,Roxa,Mecanizável,,7025.0,R$/ha
2009,Municipio,Agudos do Sul,,Roxa,Mecanizável,,7300.0,R$/ha
2010,Municipio,Agudos do Sul,,Roxa,Mecanizável,,6862.0,R$/ha
2011,Municipio,Agudos do Sul,,Roxa,Mecanizável,,7200.0,R$/ha
2012,Municipio,Agudos do Sul,,Roxa,Mecanizável,,17500.0,R$/ha
2013,Municipio,Agudos do Sul,,Roxa,Mecanizável,,18375.0,R$/ha
2014,Municipio,Agudos do Sul,,Roxa,Mecanizável,,21074.0,R$/ha
2015,Municipio,Agudos do Sul,,Roxa,Mecanizável,,28000.0,R$/ha
2016,Municipio,Agudos do Sul,,Roxa,Mecanizável,,29750.0,R$/ha
2007,Municipio,Agudos do Sul,,Roxa,Não Mecanizável,,5923.0,R$/ha
2008,Municipio,Agudos do Sul,,Roxa,Não Mecanizável,,4545.0,R$/ha
2009,Municipio,Agudos do Sul,,Roxa,Não Mecanizável,,4959.0,R$/ha
2010,Municipio,Agudos do Sul,,Roxa,Não Mecanizável,,4710.0,R$/ha
2011,Municipio,Agudos do Sul,,Roxa,Não Mecanizável,,4850.0,R$/ha
2012,Municipio,Agudos do Sul,,Roxa,Não Mecanizável,,7500.0,R$/ha
2013,Municipio,Agudos do Sul,,Roxa,Não Mecanizável,,7500.0,R$/ha
2014,Municipio,Agudos do Sul,,Roxa,Não Mecanizável,,8500.0,R$/ha
2015,Municipio,Agudos do Sul,,Roxa,Não Mecanizável,,10331.0,R$/ha
2016,Municipio,Agudos do Sul,,Roxa,Não Mecanizável,,15805.0,R$/ha
2007,Municipio,Agudos do Sul,,Roxa,Inaproveitáveis,,909.0,R$/ha
2008,Municipio,Agudos do Sul,,Roxa,Inaproveitáveis,,1050.0,R$/ha
2009,Municipio,Agudos do Sul,,Roxa,Inaproveitáveis,,1150.0,R$/ha
2010,Municipio,Agudos do Sul,,Roxa,Inaproveitáveis,,1115.0,R$/ha
2011,Municipio,Agudos do Sul,,Roxa,Inaproveitáveis,,1250.0,R$/ha
2012,Municipio,Agudos do Sul,,Roxa,Inaproveitáveis,,3000.0,R$/ha
2013,Municipio,Agudos do Sul,,Roxa,Inaproveitáveis,,3500.0,R$/ha
2014,Municipio,Agudos do Sul,,Roxa,Inaproveitáveis,,4000.0,R$/ha
2015,Municipio,Agudos do Sul,,Roxa,Inaproveitáveis,,4500.0,R$/ha
2016,Municipio,Agudos do Sul,,Roxa,Inaproveitáveis,,4800.0,R$/ha
2007,Municipio,Alto Paraíso,,Arenosa,Mecanizada,,6200.0,R$/ha
2008,Municipio,Alto Paraíso,,Arenosa,Mecanizada,,8264.0,R$/ha
2009,Municipio,Alto Paraíso,,Arenosa,Mecanizada,,8200.0,R$/ha
2010,Municipio,Alto Paraíso,,Arenosa,Mecanizada,,8200.0,R$/ha
2011,Municipio,Alto Paraíso,,Arenosa,Mecanizada,,9000.0,R$/ha
2012,Municipio,Alto Paraíso,,Arenosa,Mecanizada,,10330.0,R$/ha
2013,Municipio,Alto Paraíso,,Arenosa,Mecanizada,,15700.0,R$/ha
2014,Municipio,Alto Paraíso,,Arenosa,Mecanizada,,21000.0,R$/ha
2015,Municipio,Alto Paraíso,,Arenosa,Mecanizada,,20000.0,R$/ha
2016,Municipio,Alto Paraíso,,Arenosa,Mecanizada,,21000.0,R$/ha
2007,Municipio,Alto Paraíso,,Arenosa,Mecanizável,,5000.0,R$/ha
2008,Municipio,Alto Paraíso,,Arenosa,Mecanizável,,7438.0,R$/ha
2009,Municipio,Alto Paraíso,,Arenosa,Mecanizável,,7000.0,R$/ha
2010,Municipio,Alto Paraíso,,Arenosa,Mecanizável,,7000.0,R$/ha
2011,Municipio,Alto Paraíso,,Arenosa,Mecanizável,,8100.0,R$/ha
2012,Municipio,Alto Paraíso,,Arenosa,Mecanizável,,9000.0,R$/ha
2013,Municipio,Alto Paraíso,,Arenosa,Mecanizável,,14100.0,R$/ha
2007,Municipio,Não Mecanizável,,Arenosa,Inaproveitáveis,,3600.0,R$/ha
2008,Municipio,Não Mecanizável,,Arenosa,Inaproveitáveis,,8000.0,R$/ha
2007,Municipio,Alto Paraná,,Arenosa,Mecanizada,,4917.0,R$/ha
2008,Municipio,Alto Paraná,,Arenosa,Mecanizada,,4959.0,R$/ha
2009,Municipio,Alto Paraná,,Arenosa,Mecanizada,,5455.0,R$/ha
2010,Municipio,Alto Paraná,,Arenosa,Mecanizada,,5183.0,R$/ha
2011,Municipio,Alto Paraná,,Arenosa,Mecanizada,,6478.0,R$/ha
2012,Municipio,Alto Paraná,,Arenosa,Mecanizada,,6867.0,R$/ha
2013,Municipio,Alto Paraná,,Arenosa,Mecanizada,,8000.0,R$/ha
2014,Municipio,Alto Paraná,,Arenosa,Mecanizada,,9504.0,R$/ha
2015,Municipio,Alto Paraná,,Arenosa,Mecanizada,,14300.0,R$/ha
2016,Municipio,Alto Paraná,,Arenosa,Mecanizada,,24793.0,R$/ha
2007,Municipio,Não Mecanizável,,Arenosa,Inaproveitáveis,,2930.0,R$/ha
2008,Municipio,Não Mecanizável,,Arenosa,Inaproveitáveis,,2971.0,R$/ha
2009,Municipio,Não Mecanizável,,Arenosa,Inaproveitáveis,,3268.0,R$/ha
2010,Municipio,Não Mecanizável,,Arenosa,Inaproveitáveis,,3104.0,R$/ha
2011,Municipio,Não Mecanizável,,Arenosa,Inaproveitáveis,,3880.0,R$/ha
2012,Municipio,Não Mecanizável,,Arenosa,Inaproveitáveis,,3880.0,R$/ha
2013,Municipio,Não Mecanizável,,Arenosa,Inaproveitáveis,,4501.0,R$/ha
2014,Municipio,Não Mecanizável,,Arenosa,Inaproveitáveis,,5000.0,R$/ha
2015,Municipio,Não Mecanizável,,Arenosa,Inaproveitáveis,,5000.0,R$/ha
2016,Municipio,Não Mecanizável,,Arenosa,Inaproveitáveis,,4462.0,R$/ha
2007,Municipio,Alto Piquiri,,Roxa,Mecanizada,,12000.0,R$/ha
2008,Municipio,Alto Piquiri,,Roxa,Mecanizada,,17000.0,R$/ha
2009,Municipio,Alto Piquiri,,Roxa,Mecanizada,,18600.0,R$/ha
2010,Municipio,Alto Piquiri,,Roxa,Mecanizada,,16500.0,R$/ha
2011,Municipio,Alto Piquiri,,Roxa,Mecanizada,,24000.0,R$/ha
2012,Municipio,Alto Piquiri,,Roxa,Mecanizada,,22000.0,R$/ha
2013,Municipio,Alto Piquiri,,Roxa,Mecanizada,,33000.0,R$/ha
2014,Municipio,Alto Piquiri,,Roxa,Mecanizada,,40000.0,R$/ha
2015,Municipio,Alto Piquiri,,Roxa,Mecanizada,,40000.0,R$/ha
2007,Municipio,Alto Piquiri,,Roxa,Mecanizável,,10500.0,R$/ha
2008,Municipio,Alto Piquiri,,Roxa,Mecanizável,,15000.0,R$/ha
2009,Municipio,Alto Piquiri,,Roxa,Mecanizável,,17000.0,R$/ha
2010,Municipio,Alto Piquiri,,Roxa,Mecanizável,,15500.0,R$/ha
2011,Municipio,Alto Piquiri,,Roxa,Mecanizável,,22500.0,R$/ha
2007,Municipio,Não Mecanizável,,Roxa,Inaproveitáveis,,6000.0,R$/ha
2008,Municipio,Não Mecanizável,,Roxa,Inaproveitáveis,,10000.0,R$/ha
2007,Municipio,Não Mecanizável,,Mista,Mecanizada,,8000.0,R$/ha
2008,Municipio,Não Mecanizável,,Mista,Mecanizada,,15000.0,R$/ha
2009,Municipio,Não Mecanizável,,Mista,Mecanizada,,12500.0,R$/ha
2010,Municipio,Não Mecanizável,,Mista,Mecanizada,,12000.0,R$/ha
2011,Municipio,Não Mecanizável,,Mista,Mecanizada,,18000.0,R$/ha
2012,Municipio,Não Mecanizável,,Mista,Mecanizada,,20000.0,R$/ha
2013,Municipio,Não Mecanizável,,Mista,Mecanizada,,21000.0,R$/ha
2014,Municipio,Não Mecanizável,,Mista,Mecanizada,,25000.0,R$/ha
2015,Municipio,Não Mecanizável,,Mista,Mecanizada,,30000.0,R$/ha
2007,Municipio,Não Mecanizável,,Mista,Mecanizável,,6000.0,R$/ha
2008,Municipio,Não Mecanizável,,Mista,Mecanizável,,13000.0,R$/ha
2009,Municipio,Não Mecanizável,,Mista,Mecanizável,,11000.0,R$/ha
2010,Municipio,Não Mecanizável,,Mista,Mecanizável,,11000.0,R$/ha
2011,Municipio,Não Mecanizável,,Mista,Mecanizável,,16500.0,R$/ha
2007,Municipio,Não Mecanizável,,Arenosa,Mecanizada,,6200.0,R$/ha
2008,Municipio,Não Mecanizável,,Arenosa,Mecanizada,,7400.0,R$/ha
2009,Municipio,Não Mecanizável,,Arenosa,Mecanizada,,8200.0,R$/ha
2010,Municipio,Não Mecanizável,,Arenosa,Mecanizada,,8000.0,R$/ha
2011,Municipio,Não Mecanizável,,Arenosa,Mecanizada,,10300.0,R$/ha
2012,Municipio,Não Mecanizável,,Arenosa,Mecanizada,,12400.0,R$/ha
2013,Municipio,Não Mecanizável,,Arenosa,Mecanizada,,15000.0,R$/ha
2014,Municipio,Não Mecanizável,,Arenosa,Mecanizada,,18600.0,R$/ha
2015,Municipio,Não Mecanizável,,Arenosa,Mecanizada,,25000.0,R$/ha
2007,Municipio,Não Mecanizável,,Arenosa,Mecanizável,,5000.0,R$/ha
2008,Municipio,Não Mecanizável,,Arenosa,Mecanizável,,6000.0,R$/ha
2009,Municipio,Não Mecanizável,,Arenosa,Mecanizável,,7500.0,R$/ha
2010,Municipio,Não Mecanizável,,Arenosa,Mecanizável,,7000.0,R$/ha
2011,Municipio,Não Mecanizável,,Arenosa,Mecanizável,,8800.0,R$/ha
2012,Municipio,Não Mecanizável,,Arenosa,Mecanizável,,11000.0,R$/ha
2013,Municipio,Não Mecanizável,,Arenosa,Mecanizável,,13500.0,R$/ha
2007,Municipio,Altônia,,Arenosa,Mecanizada,,6200.0,R$/ha
2008,Municipio,Altônia,,Arenosa,Mecanizada,,7438.0,R$/ha
2009,Municipio,Altônia,,Arenosa,Mecanizada,,8200.0,R$/ha
2010,Municipio,Altônia,,Arenosa,Mecanizada,,8000.0,R$/ha
2011,Municipio,Altônia,,Arenosa,Mecanizada,,8264.0,R$/ha
2012,Municipio,Altônia,,Arenosa,Mecanizada,,11600.0,R$/ha
2013,Municipio,Altônia,,Arenosa,Mecanizada,,16500.0,R$/ha
2014,Municipio,Altônia,,Arenosa,Mecanizada,,18600.0,R$/ha
2015,Municipio,Altônia,,Arenosa,Mecanizada,,20000.0,R$/ha
2007,Municipio,Altônia,,Arenosa,Mecanizável,,5000.0,R$/ha
2008,Municipio,Altônia,,Arenosa,Mecanizável,,6600.0,R$/ha
2009,Municipio,Altônia,,Arenosa,Mecanizável,,7000.0,R$/ha
2010,Municipio,Altônia,,Arenosa,Mecanizável,,7000.0,R$/ha
2011,Municipio,Altônia,,Arenosa,Mecanizável,,6764.0,R$/ha
2012,Municipio,Altônia,,Arenosa,Mecanizável,,10000.0,R$/ha
2013,Municipio,Altônia,,Arenosa,Mecanizável,,14800.0,R$/ha
2007,Municipio,Altônia,,Arenosa,Não Mecanizável,,5000.0,R$/ha
2008,Municipio,Altônia,,Arenosa,Não Mecanizável,,5000.0,R$/ha
2009,Municipio,Altônia,,Arenosa,Não Mecanizável,,5000.0,R$/ha
2010,Municipio,Altônia,,Arenosa,Não Mecanizável,,5800.0,R$/ha
2011,Municipio,Altônia,,Arenosa,Não Mecanizável,,6000.0,R$/ha
2012,Municipio,Altônia,,Arenosa,Não Mecanizável,,7400.0,R$/ha
2013,Municipio,Altônia,,Arenosa,Não Mecanizável,,12000.0,R$/ha
2007,Municipio,Altônia,,Arenosa,Inaproveitáveis,,8300.0,R$/ha
2008,Municipio,Altônia,,Arenosa,Inaproveitáveis,,3600.0,R$/ha
2009,Municipio,Altônia,,Arenosa,Inaproveitáveis,,8000.0,R$/ha
2007,Municipio,Alvorada do Sul,,Roxa,Mecanizada,,9750.0,R$/ha
2008,Municipio,Alvorada do Sul,,Roxa,Mecanizada,,9750.0,R$/ha
2009,Municipio,Alvorada do Sul,,Roxa,Mecanizada,,12190.0,R$/ha
2010,Municipio,Alvorada do Sul,,Roxa,Mecanizada,,12190.0,R$/ha
2011,Municipio,Alvorada do Sul,,Roxa,Mecanizada,,14460.0,R$/ha
2012,Municipio,Alvorada do Sul,,Roxa,Mecanizada,,15470.0,R$/ha
2013,Municipio,Alvorada do Sul,,Roxa,Mecanizada,,16700.0,R$/ha
2014,Municipio,Alvorada do Sul,,Roxa,Mecanizada,,31000.0,R$/ha
2015,Municipio,Alvorada do Sul,,Roxa,Mecanizada,,35120.0,R$/ha
2007,Municipio,Alvorada do Sul,,Roxa,Mecanizável,,8300.0,R$/ha
2008,Municipio,Alvorada do Sul,,Roxa,Mecanizável,,8300.0,R$/ha
2009,Municipio,Alvorada do Sul,,Roxa,Mecanizável,,9100.0,R$/ha
2010,Municipio,Alvorada do Sul,,Roxa,Mecanizável,,9100.0,R$/ha
2011,Municipio,Alvorada do Sul,,Roxa,Mecanizável,,10120.0,R$/ha
2012,Municipio,Alvorada do Sul,,Roxa,Mecanizável,,11600.0,R$/ha
2013,Municipio,Alvorada do Sul,,Roxa,Mecanizável,,12500.0,R$/ha
2014,Municipio,Alvorada do Sul,,Roxa,Mecanizável,,23250.0,R$/ha
2015,Municipio,Alvorada do Sul,,Roxa,Mecanizável,,26340.0,R$/ha
2007,Municipio,Alvorada do Sul,,Roxa,Não Mecanizável,,6200.0,R$/ha
2008,Municipio,Alvorada do Sul,,Roxa,Não Mecanizável,,6200.0,R$/ha
2009,Municipio,Alvorada do Sul,,Roxa,Não Mecanizável,,6200.0,R$/ha
2010,Municipio,Alvorada do Sul,,Roxa,Não Mecanizável,,6200.0,R$/ha
2011,Municipio,Alvorada do Sul,,Roxa,Não Mecanizável,,7400.0,R$/ha
2012,Municipio,Alvorada do Sul,,Roxa,Não Mecanizável,,7400.0,R$/ha
2013,Municipio,Alvorada do Sul,,Roxa,Não Mecanizável,,8000.0,R$/ha
2014,Municipio,Alvorada do Sul,,Roxa,Não Mecanizável,,15500.0,R$/ha
2015,Municipio,Alvorada do Sul,,Roxa,Não Mecanizável,,17560.0,R$/ha
2007,Municipio,Alvorada do Sul,,Roxa,Inaproveitáveis,,4100.0,R$/ha
2008,Municipio,Alvorada do Sul,,Roxa,Inaproveitáveis,,4100.0,R$/ha
